id,cidade,area,quartos,banheiros,estacionamento,andares,animais,moveis,taxa_condominio,aluguel,seguro_incendio,total
1,São Paulo,70,2,1,1,7,true,true,206500,330000,,561800
2,São Paulo,320,4,4,0,20,true,true,120000,496000,,797300
3,Porto Alegre,80,1,1,1,6,true,true,100000,280000,,384100
4,Porto Alegre,51,2,1,0,2,true,true,27000,111200,,142100
5,São Paulo,25,1,1,0,1,true,true,0,80000,,83600
6,São Paulo,376,3,3,7,-,true,true,0,800000,,895500
7,Rio de Janeiro,72,2,1,0,7,true,true,74000,190000,,275000
8,São Paulo,213,4,4,4,4,true,true,225400,322300,,725300
9,São Paulo,152,2,2,1,3,true,true,100000,1500000,,1644000
10,Rio de Janeiro,35,1,1,0,2,true,true,59000,230000,,295500
11,São Paulo,26,1,1,0,2,true,true,47000,210000,,274700
12,Campinas,46,1,1,1,10,true,true,55000,58000,,118100
13,São Paulo,36,1,1,0,11,true,true,35900,210000,,255600
14,São Paulo,55,1,1,1,2,true,true,79000,420000,,526800
15,São Paulo,100,2,2,2,24,true,true,90000,437000,,534300
16,Campinas,330,4,6,6,-,true,true,68000,800000,,912900
17,São Paulo,110,2,2,1,1,true,true,70000,300000,,386100
18,Rio de Janeiro,88,2,3,1,9,true,true,161400,350000,,535100
19,Rio de Janeiro,56,2,1,0,8,true,true,80000,122000,,203600
20,São Paulo,600,4,5,6,-,true,true,0,1200000,,2168000
21,São Paulo,100,7,4,0,-,true,true,0,380000,,397600
22,Belo Horizonte,42,1,1,1,17,true,true,47000,269000,,336800
23,São Paulo,160,3,2,2,18,true,true,153000,190000,,362200
24,São Paulo,35,1,1,0,-,true,true,0,110000,,111700
25,Rio de Janeiro,90,3,2,1,7,true,true,80000,180000,,274200
26,São Paulo,49,1,1,1,10,true,true,48000,350000,,406700
27,São Paulo,41,1,1,1,5,true,true,60000,300000,,363900
28,Belo Horizonte,64,2,2,1,11,true,true,35200,150000,,195200
29,Campinas,208,3,2,4,-,true,true,0,318000,,332800
30,São Paulo,20,1,1,0,5,true,true,60200,180000,,255500
31,São Paulo,55,2,2,2,6,true,true,78000,106800,,200400
32,São Paulo,32,1,1,0,3,true,true,51500,170000,,226600
33,São Paulo,80,2,2,1,11,true,true,120800,255000,,400700
34,Rio de Janeiro,45,1,1,1,10,true,true,245000,250000,,557600
35,São Paulo,350,4,4,3,8,true,true,210000,400000,,665100
36,Porto Alegre,38,1,1,2,11,true,true,45000,175000,,222600
37,São Paulo,30,1,1,0,1,true,true,46000,160000,,208100
38,Belo Horizonte,80,3,2,1,-,true,true,0,1100000,,1161000
39,São Paulo,70,2,1,0,-,true,true,0,115000,,122700
40,Porto Alegre,40,1,1,1,6,true,true,39000,299000,,342400
41,São Paulo,300,4,6,4,20,true,true,370000,1200000,,1744000
42,São Paulo,240,3,2,3,-,true,true,0,350000,,384500
43,Belo Horizonte,200,4,2,1,7,true,true,85000,255000,,344300
44,Belo Horizonte,45,1,1,1,5,true,true,50000,163100,,233500
45,São Paulo,360,4,5,0,1,true,true,400000,641000,,1249000
46,São Paulo,40,1,1,1,10,true,true,97800,282900,,384000
47,Belo Horizonte,100,3,1,0,13,true,true,70000,122000,,194700
48,Porto Alegre,42,1,1,2,2,true,true,19000,177000,,200300
49,Campinas,250,3,3,2,1,true,true,220000,170000,,417800
50,Campinas,48,1,1,1,2,true,true,50500,160000,,218500
51,Rio de Janeiro,90,3,3,1,10,true,true,125000,380000,,524600
52,São Paulo,45,1,2,1,15,true,true,85600,390000,,495600
53,Rio de Janeiro,150,2,3,4,6,true,true,170000,400000,,645200
54,São Paulo,60,2,1,0,2,true,true,20000,144500,,166400
55,São Paulo,31,1,1,0,4,true,true,37000,235000,,280600
56,São Paulo,210,4,5,4,4,true,true,165000,900000,,1154000
57,São Paulo,280,3,1,2,-,true,true,0,600000,,620400
58,Campinas,93,2,3,2,9,true,true,66300,550000,,636600
59,Porto Alegre,75,3,2,1,9,true,true,34000,180000,,227600
60,São Paulo,194,3,4,3,-,true,true,0,400000,,413100
61,São Paulo,41,1,1,1,6,true,true,52300,400000,,470500
62,Rio de Janeiro,65,1,1,1,8,true,true,200000,510000,,741600
63,São Paulo,70,2,1,1,13,true,true,76100,215000,,300600
64,São Paulo,278,4,5,2,16,true,true,405200,900000,,1443000
65,Rio de Janeiro,35,1,1,0,5,true,true,30600,152100,,186800
66,Campinas,300,4,4,3,2,true,true,230000,600000,,879400
67,São Paulo,61,2,1,1,4,true,true,45900,185000,,233300
68,Rio de Janeiro,130,3,2,1,7,true,true,166000,170000,,385700
69,Rio de Janeiro,80,2,1,1,20,true,true,50000,90000,,150200
70,São Paulo,164,4,4,2,6,true,true,215900,500000,,760900
71,Belo Horizonte,220,4,2,3,3,true,true,45000,242200,,303000
72,São Paulo,45,1,1,0,-,true,true,0,105000,,111200
73,São Paulo,108,3,2,2,7,true,true,129000,560000,,739600
74,Belo Horizonte,128,1,1,0,4,true,true,41800,210000,,272800
75,Rio de Janeiro,60,1,1,0,10,true,true,45000,180000,,232200
76,São Paulo,250,4,5,4,6,true,true,205000,980000,,1297000
77,Porto Alegre,47,1,1,1,1,true,true,40000,220000,,263300
